,Unnamed: 0,id,page_source,link,title,content,address_street,address_ward,surrounding,surrounding_name,surrounding_characteristics,interior_room,project,address_city,transaction_type,realestate_type,price_sell,price_rent,legal,floor,position_street,potential,area_origin,address_number,lat_x,long_x,coordinate,price_m2,orientation,area_cal,post_id,post_date,crawled_date,created_at,price_score,price_score_filter,geom,status_price_score,price_score_timestamp,comment_id,comment_filter_id,is_suspicious,created_by,contact_phone,hash_post_key,number_duplicated_post,orientation_id,done,label_cluster,gglat,gglong,res_field,gg_addr,regex_street,district_name,street,latlong_street,latlongpos,district_id,district_lat,district_long,price_m2_old
1562,1562,471060,6.0,https://landber.com/tin-dang/Ads_01_24249038,"Nhà đất bán 50/26 đường số 45, phường 14, quận Gò Vấp","Vị trí căn nhà nằm gần trung tâm Quận Gò Vấp (Trung tâm thương mại Lotte Mart, E - Mart, Vincom Plaza,... Bệnh viện Gò Vấp, trường học, công viên phủ cây xanh tươi mát), tiện cho các tuyến đường lên các quận trung tâm.
Tổng quan diện tích 75m2, giá bán 2.9 tỷ.

Pháp lý sổ hồng riêng công chứng sang tên trong ngày.",Số 45,14,"Trung tâm thương mại, Bệnh viện, trường học, công viên","Gò Vấp, Trung tâm thương mại Lotte Mart, E - Mart, Vincom Plaza, Bệnh viện Gò Vấp",,,Royal City,1.0,1.0,2.0,2900000000,0,3.0,1.0,6,{2},"{0,0}",1.0,10.8436135852774,106.63660396996401,"(106.636603969964,10.8436135852774)",55278174.80935191,,75.0,Ads_01_24249038,1582650000,1582683339.0,2020-02-26 09:16:01.558185,7.8,3.7,0101000020E6100000D4DF931EBEA85A408B74AE1EEEAF2540,1.0,2020-04-13 09:58:03.00114,10,7.0,False,1.0,,aee451bab7c07611e3fd50cc8b835365,1.0,,0.0,0.0,10.842759,106.638378,title,"50, 26 Đường số 45, phường 14, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam","hẻm 50/26 đường số 45, Quận Gò Vấp, Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"hẻm 50/26 đường số 45, Quận Gò Vấp, Hồ Chí Minh, Việt Nam","[10.842759, 106.638378]","[10.842759, 106.638378, 6.0]",6,10.842571000000001,106.67104199999999,38598666.66666666
1505,1505,706746,6.0,https://landber.com/tin-dang/Ads_01_25366020,"Chính chủ bán nhà HXH Cây Trâm 4 tầng, 70m2, nhà mới đúc BTCT","CẦN BÁN NHÀ CHÍNH CHỦ 

Tôi cần bán nhà 401/4 Đường Cây Trâm.

- Diện tích:68m2.
- 1 trệt 3 lầu + sân thượng. Đúc BTCT chắc chắn. Nhà đã sửa lại mới đẹp.
- Hẻm 2 xe hơi tránh.
- Tiện ích xung quanh caia nào cũng có. Bách hoá xanh, trường CĐ kĩ thuật Miền Nam....
Thông ra đường Quang Trung.
- Giá: 7,1 tỷ có bớt lộc cho khách thiện chí.
UPDATE: Giảm sâu giá chỉ còn 6ty6 trong tháng 5 này.
Lh Dang
 hoa hồng 1% cho người giới thiệu.

Thông tin pháp lý: Đã có sổ đó, riêng chính chủ.",Cây Trâm,10,trường CĐ kĩ thuật,"Bách hoá xanh, trường CĐ kĩ thuật Miền Nam, Quang Trung",,4 phòng ngủ,,1.0,1.0,2.0,6600000000,0,2.0,4.5,3,{2},"{0,0}",100.0,10.8325465735066,106.67182992498002,"(106.67182992498,106.67182992498)",94285714.2857143,,70.0,Ads_01_25366020,1588870800,1588950560.0,2020-05-08 22:10:02.508359,0.0,0.0,0101000020E6100000CD10F142FFAA5A401E37638B43AA2540,0.0,,0,0.0,False,1.0,,c1058e3107e1d4fb91cea661c2af1e5e,1.0,,0.0,0.0,10.8436758,106.6477112,content,"Hẻm 401, phường 8, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam","hẻm 401/4 Đường Cây Trâm, Quận Gò Vấp, Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"hẻm 401/4 Đường Cây Trâm, Quận Gò Vấp, Hồ Chí Minh, Việt Nam","[10.8436758, 106.6477112]","[10.8436758, 106.6477112, 3.0]",6,10.842571000000001,106.67104199999999,93957857.14285716
1227,1227,595861,3.0,https://batdongsan.com.vn/ban-nha-rieng-duong-so-9-phuong-14-8/chinh-chu-ban-hxh-76-19-9-p-14-q-go-vap-lien-he-090-910-8228-pr25133040,"Chính chủ bán nhà HXH 76/19 Đường số 9, P. 14, Q. Gò Vấp - liên hệ: 090.910.8228",Nhà đẹp vị trí đẹp quận Gò Vấp hẻm 2 xe hơi tránh nhau gần chợ Thạch Đà P. 14 - Gò Vấp.<br/>Bán gấp nhà Gò Vấp 3 tấm (trệt 2 lầu + sân thượng).<br/>- Nhà có 4 phòng ngủ thích hợp gia đình 6 - 8 người có toilet riêng đầy đủ.<br/>- Diện tích: 68m2 (4.15x16.5m) vuông vức.<br/>- Giá bán: 5 tỷ 9 còn TL (87 tr/m2). Hướng Đông.<br/>Liên hệ: 090.910.8228 A. Hùng.,Số 9,14,chợ,chợ Thạch Đà,,4,,1.0,1.0,2.0,5900000000,0,2.0,3.5,3,{2},"{4.15,16.5}",4.0,10.845850227961302,106.65193658419399,"(106.651936584194,106.651936584194)",113561998.568115,đông,68.0,bdscomvn_25133040,1586456288,1586409117.0,2020-04-09 12:12:01.786848,7.9,3.6,0101000020E6100000850B3954B9A95A40F4D0F44713B12540,1.0,2020-04-09 12:13:00.809014,10,7.0,True,2.0,909108228.0,a5aaa696f2ae9762c62daa8d184729b4,1.0,,0.0,0.0,10.844732800000001,106.66847290000001,title,"76, 19 Đường Số 9, phường 16, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam","hẻm 76/19 Đường số 9, Quận Gò Vấp, Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"hẻm 76/19 Đường số 9, Quận Gò Vấp, Hồ Chí Minh, Việt Nam","[10.8447328, 106.6684729]","[10.8447328, 106.6684729, 3.0]",6,10.842571000000001,106.67104199999999,86502205.88235295
1504,1504,563632,2.0,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/ban-nha-hem-thong-nhat-go-vap-shr-id20703240,Bán Nhà Hẻm Thống Nhất Gò Vấp SHR,"
Bán nhà hẻm 79 Thống Nhất, P11, Gò Vấp
- Dt: 3.3m, nở hậu 4m x 9m, sổ 28.73m²
- Kết cấu: 1 trệt, 1 lửng và 1 lầu, 3pn, 2wc
- Vị trí ngay bệnh viện Hồng Đức vào
- Hướng Đông mát, sổ hồng riêng đầy đủ
- Giá: 1 tỷ 32( thương lượng )
",Thống Nhất,11,bệnh viện,bệnh viện Hồng Đức,,2,,1.0,1.0,2.0,1320000000,0,3.0,2.5,3,{2},"{0,0}",79.0,10.8392715263356,106.665084439797,"(106.665084439797,10.8392715263356)",83103999.2026745,đông,3.3,mogi_20703240,1584205200,1584238150.0,2020-03-15 09:10:01.822572,2.0,3.6,,1.0,2020-04-13 13:23:02.638056,1,8.0,False,2.0,,4d6d6bfb53a02da9d18386006bee524c,1.0,,0.0,0.0,10.832590699999999,106.6631084,content,"Hẻm 79 Thống Nhất, phường 11, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam","hẻm 79 Thống Nhất, Quận Gò Vấp, Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"hẻm 79 Thống Nhất, Quận Gò Vấp, Hồ Chí Minh, Việt Nam","[10.832634, 106.6634376]","[10.8325907, 106.6631084, 3.0]",6,10.842571000000001,106.67104199999999,396136363.6363637
1459,1459,514319,2.0,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-1-tret-2-lau-duong-le-van-tho-phuong-8-go-vap-id20499508,"Bán nhà 1 trệt 2 lầu đường Lê Văn Thọ, Phường 8, Gò Vấp","
Bán nhà hẻm 101 lê văn thọ, gò vấp
- đường 5m xe tải vào tận nhà
- diện tích 64m, diện tích sàn 212,8m
- nhà 1 trệt 2 lầu
- gồm 4 phòng ngủ, 3 wc
- tặng full nội thất, bộ bàn ghế gỗ hơn 100tr, kệ ti vi, kệ bếp, máy giặt, tủ lạnh, máy lạnh, giường...
- nhà đẹp, dọn vào ở ngay
- khu trung tâm gò vấp, gần bệnh viện, trường học, gần san bay
- giá 7,9 tỷ
- LH: 0915.86.76.39 (Đình)
",Lê Văn Thọ,8,"bệnh viện, trường học, san bay",gò vấp,,4,,1.0,1.0,2.0,7900000000,0,3.0,3.0,3,{2},"{0,0}",101.0,10.841570461324599,106.657271044843,"(106.657271044843,10.8415704613246)",74405654.9961633,nam,212.8,mogi_20499508,1583427600,1583420615.0,2020-03-05 22:04:01.742506,8.0,3.6,0101000020E6100000738D92BA10AA5A406456D152E2AE2540,1.0,2020-04-13 10:58:02.448827,10,7.0,True,2.0,915867639.0,6fa5d396dcae76f457a6c599665f9f6c,1.0,,0.0,0.0,10.8409624,106.65726000000001,content,"101 Đường Lê Văn Thọ, Phường 11, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam","hẻm 101 lê văn thọ, Quận Gò Vấp, Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"hẻm 101 lê văn thọ, Quận Gò Vấp, Hồ Chí Minh, Việt Nam","[10.8409624, 106.65726]","[10.8409624, 106.65726, 3.0]",6,10.842571000000001,106.67104199999999,37052161.65413534
1341,1341,109237,6.0,https://landber.com/tin-dang/Ads_01_23474001,"bán nhà sổ riêng 1 trệt 1 lầu 4*8 đường phạm văn chiêu, phường 14, đối diện trương tiêu học an hội","Giá 2 tỷ 650

BÁN NHÀ ĐẸP, VỊ TRÍ ĐẸP gần Ngã Tư quang trung với Phạm v chiêu Gò Vấp. Đối diện trường tiểu học AN HỘI

ngang 4,05m dài 8m ,công nhận 30m ,1 trệt 1lầu đúc thật ,nhà cấp ba, 2 tolet 2 phòng ngủ, nhà có sân để xe ,vị trí đẹp chỉ cách Ngã Tư quang trung và phạm van chiêu vài mươi mét,
Địa chỉ :  phạm v chiêu ,p 14 ,Gò Vấp
Lh 0913.888.006",Phạm Văn Chiêu,14,"trương tiêu học, Ngã Tư, trường tiểu học, Ngã Tư","trương tiêu học an hội, Ngã Tư quang trung, Phạm v chiêu, Gò Vấp, trường cấp 1 AN HỘI, Ngã Tư quang trung, phạm van chiêu",,"2 tolet, 2 phòng ngủ",,1.0,1.0,2.0,2650000000,0,1.0,2.0,6,{2},"{0,0}",8.0,10.8481024185055,106.648202535378,"(106.648202535378,10.8481024185055)",62156092.3281185,,31.0,Ads_01_23474001,1573750800,1574011068.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E610000090A87C267CA95A408147EE7A3AB22540,1.0,2020-04-13 06:28:02.667473,1,8.0,False,3.0,913888006.0,09f1f2ecfde1f21d088219d1dbdfdc3c,1.0,,2.0,0.0,10.8270648,106.6788565,title,"8 Quang Trung, Phường 8, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam","hẻm 8 đường phạm văn chiêu, Quận Gò Vấp, Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"hẻm 8 đường phạm văn chiêu, Quận Gò Vấp, Hồ Chí Minh, Việt Nam","[10.8270648, 106.6788565]","[10.8270648, 106.6788565, 6.0]",6,10.842571000000001,106.67104199999999,85154838.70967741
1552,1552,427852,6.0,https://landber.com/tin-dang/Ads_01_23999673,Bán nhà góc 2 mặt tiền 276 Thống Nhất P16 DT 6x21m nhà mới 3 lầu hẻm 8m. Giá 7.2 tỷ,"Vị trí đẹp: Đường trước nhà 8m, cách mặt tiền 120m.
Kết cấu: Nhà 3 lầu, 5 phòng ngủ rộng.

Diện tích vuông đẹp: 6x21m DTCN 126m2.
Hẻm trước nhà 8m, hẻm hông 5m, thông 2 xe tải.

Sổ hồng chính chủ.
Giá bán: 7.2 tỷ, khách thiện chí xem nhà thương lượng.
Liên hệ: 0916501001 - Mr. Trung.",Thống Nhất,16,,,,5 phòng ngủ,276,1.0,1.0,2.0,7200000000,0,3.0,4.0,5,{2},"{6,21}",276.0,10.846117053663699,106.664834326714,"(106.664834326714,10.8461170536637)",96487644.8291742,,126.0,Ads_01_23999673,1581872400,1581901714.0,2020-02-17 08:09:01.625016,2.0,3.6,0101000020E6100000959F46A58CAA5A40B125244136B12540,1.0,2020-04-13 08:47:03.147545,2,7.0,False,2.0,916501001.0,cbc082a5e80bb4947b5e6073a586765d,1.0,,0.0,0.0,10.8417507,106.6670507,title,"Hẻm 276 Thống Nhất, phường 16, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam","hẻm 276 Thống Nhất, Quận Gò Vấp, Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"hẻm 276 Thống Nhất, Quận Gò Vấp, Hồ Chí Minh, Việt Nam","[10.8417775, 106.6670241]","[10.8417507, 106.6670507, 5.0]",6,10.842571000000001,106.67104199999999,56980952.38095238
1622,1622,459599,6.0,https://landber.com/tin-dang/Ads_03_5812130,"Nhà cấp 4 Võ THị Hồi, Xuân Thới Đông, Hóc Môn, 106m2, giá 1,1 tỷ","Nhà cấp 4 còn rất mới, có 2p ngủ, sân nhỏ phía trước, phòng bếp phòng khách riêng biệt.Nhà rộng rãi, thoáng mát

Diện tích: 5x21.2 =106m2

ĐC: Võ thị Hồi,Xuân Thới Đông, đoạn giao trần văn mười
Đường trước nhà rộng xe ôt vô tới cửa nhà
Giá 1,1 tỷ
Gọi điện trước khi tới coi nhà",Võ Thị Hồi,xuân thới đông,,"Võ thị Hồi, trần văn mười",,2 phòng ngủ,,1.0,1.0,2.0,1100000000,0,2.0,1.0,6,{2},"{5,21.2}",4.0,10.860216239812301,106.601965740087,"(106.601965740087,10.8602162398123)",26637079.2975195,,106.0,Ads_03_5812130,1582390800,1582410127.0,2020-02-23 05:28:01.363827,2.0,3.6,0101000020E610000037BF4F9B86A65A40B6F652436EB82540,1.0,2020-04-13 07:37:02.242933,2,7.0,False,1.0,,24b61280e874c3e367009efd19b1afff,1.0,,0.0,0.0,10.8640609,106.59445290000001,title,"4 Đường Võ Thị Hồi, Xuân Thới Đông, Hóc Môn, Thành phố Hồ Chí Minh, Vietnam","hẻm 4 Võ THị Hồi, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam",Huyện Hóc Môn,"hẻm 4 Võ THị Hồi, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam","[10.8640609, 106.5944529]","[10.8640609, 106.5944529, 6.0]",7,10.884447,106.586798,10329245.283018868
1615,1615,138645,6.0,https://landber.com/tin-dang/Ads_02_12824899,"Bán nhà 2 mặt hẻm thông xe hơi cấp 4 đường Đồng Tâm, Trung Chánh, Hóc Môn, 4 tỷ","Tôi cần bán nhà 2 mặt hẻm thông xe hơi cấp 4 đường Đồng Tâm, Trung Chánh, Hóc Môn. DT: 4m x 21m, 86m2, nước 2 nguồn. Khu dân cư đông vui nhưng lại yên tĩnh.Vị trí nhà tiện lợi:+ Đi chợ Trung Chánh: 310m2.+ Đi lễ nhà thờ Trung Chánh: 320m2.+ Cự ly đi mua hàng hóa tại Coopmart Nguyễn Ảnh Thủ 1,1Km.+ Đi xem phim tại rạp Galaxy Trung Chánh chỉ với khoảng cách 1,4Km.+ Ngã tư An Sương tới nhà: 2,5 km. Nhà có con độ tuổi đi học sẽ tiện.+ Trường cấp 1: 150m.+ Trường cấp 2: 1km.+ Trường cấp 3: 1,2km.+ Trường cao đẳng Giao Thông Vận Tải: 1,1km. Các tuyến xe thuận tiện đi các nơi vì gần bến xe An Sương.Giá: 4 tỷ. Thương lượng nhẹ. Liên hệ: 0909.955.962. MTG. Quảng cáo đừng làm phiền dùm.","Đồng Tâm,Huyện Hóc Môn,Hồ Chí Minh",trung chánh,"chợ, lễ nhà thờ, rạp, Ngã tư, Trường, Trường cấp 2, Trường cấp 3, Trường cao đẳng, bến xe","chợ Trung Chánh, lễ nhà thờ Trung Chánh, rạp Galaxy Trung Chánh, Ngã tư An Sương, Trường cao đẳng Giao Thông Vận Tải, bến xe An Sương","đông vui, yên tĩnh",,,1.0,1.0,2.0,4000000000,0,2.0,1.0,3,{2},"{4,21}",4.0,10.8772734140662,106.59377424348601,"(106.593774243486,10.8772734140662)",18861002.6596904,,86.0,Ads_02_12824899,1573491600,1573991474.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E61000009A3EAF6500A65A4009211EFB29C12540,1.0,2020-04-13 12:53:01.447607,1,8.0,False,2.0,909955962.0,638db5ba390ea69f9a3552f991948bfc,1.0,,2.0,0.0,10.863449099999999,106.609963,title,"4 Đồng Tâm, Trung Mỹ Tây, Hóc Môn, Thành phố Hồ Chí Minh, Vietnam","hẻm 4 đường Đồng Tâm, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam",Huyện Hóc Môn,"hẻm 4 đường Đồng Tâm, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam","[10.8634491, 106.609963]","[10.8634491, 106.609963, 3.0]",7,10.884447,106.586798,46452325.58139535
1624,1624,145759,6.0,https://landber.com/tin-dang/Ads_02_12962363,"Nhà 5x25, mặt tiền Xuân Thới Sơn 27, ấp 6 Xuân Thới Sơn Hóc Môn.","Chính chủ cần bán nhà giá tốt tại:-Địa chỉ: ấp 6 xã Xuân Thới Sơn, H. Hóc Môn, TP. HCM.-Diện tích: 124.5 m2- Nhà cấp 4 cũ.- Đường trước nhà tầm 12m, ô tô ra vào thoải mái.-Sổ hồng chính chủ, sang tên liền.Tiện ích:-Khu dân cư đông đúc, an ninh tốt, dân trí cao, gần trường học các cấp, trung tâm hành chính, gần chợ, bệnh viện,...-Giao thông đi lại thuận tiệnGiá bán: 3.6 tỷ (thương lượng cho khách có thiện chí mua)Liên hệ chính chủ: 093 876 5845 - 0947 619 845. Mong gặp người thiện chí. Xin cảm ơn.","Xã Xuân Thới Sơn,Huyện Hóc Môn,Hồ Chí Minh",xuân thới sơn,"trường học, trung tâm hành chính, chợ, bệnh viện",,"đông đúc, an ninh, dân trí cao",,,1.0,1.0,2.0,3600000000,0,3.0,1.0,1,{2},"{5,25}",,10.877712270490198,106.55902635435801,"(106.559026354358,10.8777122704902)",21003303.536945198,,125.0,Ads_02_12962363,1573491600,1573986736.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E610000064647916C7A35A40651BB28063C12540,1.0,2020-04-13 10:29:02.563719,1,8.0,False,2.0,938765845.0,c2ecf531ed8f96045c24563099d41f73,1.0,,2.0,0.0,10.8790427,106.5525145,content,"Xuân Thới Sơn, Hóc Môn, Ho Chi Minh City, Vietnam","6 xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam",Huyện Hóc Môn,"Đường xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam","[10.8790427, 106.5525145]","[10.8790427, 106.5525145, 1.0]",7,10.884447,106.586798,28759200.0
1612,1612,752788,3.0,https://batdongsan.com.vn/ban-nha-rieng-duong-thai-thi-giu-xa-ba-diem/-cap-4-ap-nam-lan-huyen-hoc-mon-pr20895766,"Nhà cấp 4 đường Thái Thị Giữ, Ấp Nam Lân, Xã Bà Điểm, Huyện Hóc Môn","Nhà cấp 4 đường Thái Thị Giữ, Ấp Nam Lân, Xã Bà Điểm, Huyện Hóc Môn.<br/>Diện tích: 4.2 x 13,2m = 55,8m2. Hẻm 4m.<br/>Ngay góc Thái Thị Giữ với Bà điểm 10A, cách Phan Văn Hớn 500m. KDC đông đúc. Đầy đủ các tiện ích xung quanh: Trường học, chợ, bệnh viện...<br/>Sổ hồng riêng. Bao sang tên.<br/>Giá: 2,1 tỷ thương lượng chính chủ.<br/>Liên hệ: 0932 678 777 Mr Huy.",Thái Thị Giữ,bà điểm,"Trường học, chợ, bệnh viện","Bà điểm 10 A, Phan Văn Hớn","đông đúc, Đầy đủ các tiện ích xung quanh",2,,1.0,1.0,2.0,2100000000,0,3.0,1.0,3,{2},"{4.2,13.2}",4.0,10.8420944102958,106.60647640403299,"(106.606476404033,10.8420944102958)",37634408.6021505,,55.0,bdscomvn_20895766,1589940136,1589915173.0,2020-06-30 05:04:35.760055,0.0,0.0,0101000020E610000092476882D0A65A40BABAA0FF26AF2540,0.0,,0,0.0,False,3.0,932678777.0,af16b036d01647a1d8e286cce474c91f,1.0,,1.0,0.0,10.8380992,106.60647390000001,title,"4 Đường Thái Thị Giữ, Bà Điểm, Hóc Môn, Thành phố Hồ Chí Minh, Vietnam","hẻm 4 đường Thái Thị Giữ, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam",Huyện Hóc Môn,"hẻm 4 đường Thái Thị Giữ, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam","[10.8380992, 106.6064739]","[10.8380992, 106.6064739, 3.0]",7,10.884447,106.586798,38089090.90909091
1614,1614,64605,6.0,https://landber.com/tin-dang/Ads_01_22788939,"Nhà 1 trệt 1 lầu 160m2 Xuân Thới Thượng 9, sau lưng chợ Đại Hải Bà Điểm Hóc Môn","Nhà 1 trệt 1 lầu sát ngay chợ Đại Hải nhà xây dựng đẹp hiện đại sang trọng.
Nhà thoáng mát bao gồm sân trước giếng trời thoáng mát phòng khách sang trọng phòng bếp hiện đại giếng trời nhà vệ sinh ngoài tạo không khí thoáng. Phòng ngủ bao gồm 4 phòng 1 dưới 3 phòng trên lầu 3wc.

Hẻm thông ôtô vào tới nhà.
Giá bán chỉ 3 tỷ 850 triệu.

Liên hệ mình để xem nhà và cung cấp thêm nhiều căn khác nữa.",Xuân Thới Thượng 9,bà điểm,"chợ Đại Hải, chợ","chợ Đại Hải Bà Điểm, chợ Đại Hải",,4 phòng ngủ,,1.0,1.0,2.0,3850000000,0,2.0,2.0,3,{2},"{0,0}",,10.8527795902684,106.587952859348,"(106.587952859348,10.8527795902684)",28915538.619404804,,160.0,Ads_01_22788939,1574010000,1574067918.0,2020-02-12 08:49:25.145194,7.9,3.6,0101000020E6100000499F0705A1A55A4054CCC5869FB42540,1.0,2020-04-13 11:35:02.020278,10,7.0,True,1.0,,95050b1f47e746eff10c1c01bc6bcd67,1.0,,1.0,0.0,10.8531796,106.5858899,title,"160 Xuân Thới Thượng 9, Xuân Thới Thượng, Hóc Môn, Thành phố Hồ Chí Minh, Vietnam","hẻm 160m2 Xuân Thới Thượng 9, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam",Huyện Hóc Môn,"hẻm 160m2 Xuân Thới Thượng 9, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam","[10.8531796, 106.5858899]","[10.8531796, 106.5858899, 3.0]",7,10.884447,106.586798,23998750.0
1626,1626,102918,6.0,https://landber.com/tin-dang/Ads_01_23341801,"Cần bán hẻm 68 Trần Văn Mười, Xuân Thới Đông, 4x12m, 2 lầu, nhà mới","Cần vốn kinh doanh nên sang lại căn nhà tâm đắc 68/5 Xuân Thới Đông 2, Huyện Hóc Môn.


Diện tích: 4x12m (48m2), 4PN, 3WC, thoáng mát sạch sẽ.


Kết cấu: Trệt 2 lầu mới koong, khách mua ở liền, không cần sửa.

Hẻm 6m. Thông tá lả. Chỉ cách vài căn ra mặt tiền đường. Khu vực sầm uất. Đầy tiện ích.

Đường Trần Văn Mười đang sửa lại. Xong sẽ làm lại hẻm. Tương lai sẽ được cấp sổ riêng.

Giá: 1.75 tỷ bớt lộc.",Xuân Thới Đông 2,xuân thới đông,,,sầm uất,4 phòng ngủ,68/5,1.0,1.0,2.0,1750000000,0,1.0,3.0,3,{2},"{4,12}",68.0,10.860482520071699,106.602263793905,"(106.602263793905,10.8604825200717)",26637079.2975195,,48.0,Ads_01_23341801,1573750800,1574015449.0,2020-02-12 08:49:25.145194,7.6,3.6,0101000020E6100000AD98707D8BA65A4092F9342A91B82540,1.0,2020-04-13 12:06:02.402433,10,7.0,False,1.0,,5d67c3c9040c6a3f4b5dc57f9f5d23d6,1.0,,2.0,0.0,10.867754099999999,106.5900932,content,"68/5 Xuân Thới Đông 2, Xuân Thới Đông, Hóc Môn, Thành phố Hồ Chí Minh, Vietnam","hẻm 68/5 Xuân Thới Đông 2, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam",Huyện Hóc Môn,"hẻm 68/5 Xuân Thới Đông 2, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam","[10.8677541, 106.5900932]","[10.8677541, 106.5900932, 3.0]",7,10.884447,106.586798,36139583.333333336
1608,1608,487946,6.0,https://landber.com/tin-dang/Ads_01_23479922,"Bán nhà đất 422m2 Nhị Bình, Hóc Môn","Khung giá đất TP. HCM tăng 20% từ 2020, mua ngay kẻo lỡ!

GIÁ TỐT DUY NHẤT TRONG THÁNG 3/2020:

Cần sang nhượng gấp QSD đất (bán) với tổng DT 500m2, trong đó thửa đất thổ cư được công nhận 422m2 + nhà cấp 4 nằm trên thửa đất ở 96m2.
Hẻm 5m xe hơi &amp; xe tải nhỏ, cách mặt tiền đường lớn (Bùi Công Trừng) 80 mét.
Gần UBND xã, trạm y tế, trường cấp 1 &amp; 2, nhà thờ, chùa,...
Cách chợ Nhị Bình 800 mét, có xe buýt đầu hẻm đi thẳng hướng về ngã 4 Ga &amp; QL1A.
Khu dân cư yên tĩnh, thoáng mát, phù hợp ở lâu dài và nghỉ ngơi.
Giá: 6.8 tỷ đồng (còn thương lượng với người có thiện chí), chính chủ đăng bán và không thông qua trung gian. Hình ảnh do chính chủ chụp lại, vui lòng không sao chép!
Hỗ trợ tách sổ do diện tích lớn (nếu bên mua có nhu cầu).
Địa chỉ: 147/18 Bùi Công Trừng, Nhị Bình, Hóc Môn, TP. HCM.
Mọi thông tin xin liên hệ: 093.805.3398 (C. Lẹ chính chủ).
Xin cảm ơn bạn đã xem tin đăng!",Bùi Công Trừng,nhị bình,"UBND xã, trạm y tế, trường cấp 1 & amp ; 2, nhà thờ, chùa, chợ, ngã 4 Ga","Bùi Công Trừng, chợ Nhị Bình, QL 1 A","yên tĩnh, thoáng mát",,147/18,1.0,1.0,2.0,6800000000,0,2.0,1.0,3,{2},"{0,0}",8.0,10.9093257021649,106.66584395359399,"(106.665843953594,10.9093257021649)",16113744.0758294,,422.0,Ads_01_23479922,1582995600,1583053835.0,2020-03-01 16:11:01.901219,2.0,3.6,0101000020E61000003B3BF52F9DAA5A40CB6B702393D12540,1.0,2020-04-13 10:45:02.697975,2,7.0,False,3.0,938053398.0,f7fb774a971556e85e6479d1356e0789,1.0,,0.0,0.0,10.8977304,106.68914140000001,content,"147, 18 Bùi Công Trừng, Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Vietnam","hẻm 147/18 Bùi Công Trừng, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam",Huyện Hóc Môn,"hẻm 147/18 Bùi Công Trừng, Huyện Hóc Môn, Hồ Chí Minh, Việt Nam","[10.8977304, 106.6891414]","[10.8977304, 106.6891414, 3.0]",7,10.884447,106.586798,16101658.767772513
