,ID,Address Street,Address Ward,Address District,Position Street,Latitude,Longitude,Deep,Labeled,Old Price,Old Price/m2 in DB,Old Price/m2 by Formular,New Price/m2,New Price2,Diff,Ratio
11,199592,Nguyen Tri Phuong,9,Quan 10,3,10.763313,106.669362,120,False,5000000000,160930273.446254,585568581.4771396,228306818122.98746,1947462258589.0828,1942462258589.0828,45.66136362459749
12,387756,To Hien Thanh,15,Quan 10,3,10.7824834,106.671448,121,False,10000000000,137902399.882701,142784285.7142857,456188170774.39905,31933177054207.934,31923177054207.934,45.61881707743991
13,709236,Thanh Thai,,Quan 10,1,10.7734712,106.6646185,351,False,45000000,119047.61904761901,78571.42857142857,1657602727.8497229,626589131127.1952,626544131127.1952,36.835616174438286
14,402477,Cach Mang Thang Tam,12,Quan 10,6,10.780608,106.672144,261,False,22500000000,157403277.80765602,74156435.64356436,901018297123.9305,273008574628550.97,272986074628550.97,40.04525764995247
15,627345,To Hien Thanh,7,Quan 10,1,10.7724768,106.6603404,351,False,80000000,253704200.812757,389893.6170212766,2946849293.955063,277047183631.7759,276967183631.7759,36.835616174438286
16,412943,3/2,14,Quan 10,3,10.7656274,106.6719747,120,False,49500000000,168747973.104967,366591111.1111111,2260237499417.5757,305132072621372.7,305082572621372.7,45.66136362459749
17,109615,Su Van Hanh,14,Quan 10,3,10.7724685,106.667647,121,False,27000000000,143818379.970096,232082580.6451613,1231708061090.8774,143186082501814.5,143159082501814.5,45.61881707743991
18,417564,Hoa Hao,2,Quan 10,3,10.7630155,106.6729526,120,False,8600000000,157711148.840641,129993939.39393939,392687727171.53845,25917410393321.54,25908810393321.54,45.66136362459749
19,417569,Cach Mang Thang 8,12,Quan 10,3,10.7787086,106.679611,121,False,13950000000,177177259.594322,217650000.0,636382498230.2867,40728500286738.35,40714550286738.35,45.61881707743991
20,550657,Thanh Thai,1,Quan 10,6,10.7700962,106.6621104,261,False,123000000000,141771563.4356,351414000.0,4925566690944.153,1723948346930453.8,1723825346930453.8,40.04525764995247
21,118764,Nguyen Tri Phuong,4,Quan 10,6,10.7643523,106.6641492,261,False,7500000000,175938480.789274,146658823.52941176,300339432374.6435,15317331451106.818,15309831451106.818,40.04525764995247
22,431339,To Hien Thanh,13,Quan 10,6,10.7785432,106.6673064,261,False,18000000000,130410250.476541,191272340.42553192,720814637699.1444,67756596343719.58,67738596343719.58,40.04525764995247
23,714595,Nguyen Chi Thanh,3,Quan 10,1,10.7607206,106.6710832,350,False,13000000,325000.0,197500.0,479307236.80335253,19177389472.1341,19164389472.1341,36.869787446411735
24,714817,Cach Mang Thang Tam,12,Quan 10,3,10.775721,106.67555,120,False,16500000000,261904761.904762,261580952.3809524,753412499805.8586,47465007887769.09,47448507887769.09,45.66136362459749
25,490689,To Hien Thanh,12,Quan 10,3,10.7797875,106.6692808,121,False,7000000000,166144877.216172,109295312.5,319331719542.07935,20437235150693.08,20430235150693.08,45.61881707743991
26,587892,"Thanh Thai,Quan 10,Ho Chi Minh",14,Quan 10,5,10.7700962,106.6621104,351,True,16000000000,167516070.041296,215274562.58411846,589369858791.0126,43790185608172.234,43774185608172.234,36.835616174438286
27,715365,Cach Mang Thang Tam,,Quan 10,3,10.775721,106.67555,120,False,0,0.0,-22950000.0,0.0,22950000.0,22950000.0,45.66136362459749
28,176884,To Hien Thanh,12,Quan 10,3,10.7826394,106.6716202,121,False,5500000000,127718991.008831,274235000.0,250903493925.9195,5018085178518.39,5012585178518.39,45.61881707743991
29,404831,3 Thang 2,14,Quan 10,6,10.7667887,106.6653373,261,False,19900000000,159965681.099042,178635669.36208445,796900627234.0541,88695057661150.22,88675157661150.22,40.04525764995247
30,558039,"Nguyen Tri Phuong,Quan 10,Ho Chi Minh",4,Quan 10,3,10.7653643,106.6677194,120,False,6500000000,175938480.789274,108205833.33333333,296798863559.88367,17807939463593.02,17801439463593.02,45.66136362459749
31,318780,Thanh Thai,12,Quan 10,3,10.7742398,106.6650195,121,False,15000000000,153876772.458631,184933333.33333334,684282256161.5986,55426883149089.49,55411883149089.49,45.61881707743991
32,467863,Tran Binh Trong,1,Quan 10,3,10.7651924,106.6779534,120,False,389000000,180288471.628184,8750000.0,17762270449.968426,763790379348.6423,763401379348.6423,45.66136362459749
33,565582,Thanh Thai,15,Quan 10,3,10.7700962,106.6621104,121,False,10000000000,136209172.011254,142784285.7142857,456188170774.39905,31933177054207.934,31923177054207.934,45.61881707743991
34,325623,Thanh Thai,12,Quan 10,3,10.7750444,106.6646013,121,False,11600000000,153876772.458631,180971093.75,529178278098.3029,33867427648291.387,33855827648291.387,45.61881707743991
35,329285,"Su Van Hanh,Quan 10,Ho Chi Minh",12,Quan 10,3,10.7724685,106.667647,121,False,13200000000,189667895.644686,190677745.66473988,602168385422.2068,41670057371216.71,41656857371216.71,45.61881707743991
36,329283,"Su Van Hanh,Quan 10,Ho Chi Minh",12,Quan 10,3,10.7746235,106.6687005,121,False,11800000000,189667895.644686,245408333.33333334,538302041513.7909,25838518392661.96,25826718392661.96,45.61881707743991
37,636323,Dien Bien Phu,11,Quan 10,3,10.7706706,106.6766398,120,False,5200000000,162500000.0,162021875.0,237439090847.90695,7598066207133.022,7592866207133.022,45.66136362459749
38,589886,Cach Mang Thang Tam,12,Quan 10,3,10.775721,106.67555,120,False,25000000,211474107.295455,121250.0,1141534090.6149373,91338027249.19498,91313027249.19498,45.66136362459749
39,718295,Dien Bien Phu,,Quan 10,1,10.7706945,106.6744336,350,False,80000000,579710.144927536,339492.7536231884,2949582995.712939,407075603408.38556,406995603408.38556,36.869787446411735
40,585667,To Hien Thanh,,Quan 10,1,10.7722134,106.6602623,351,True,35000000000,342781347.631965,233078333.33333334,1289246566105.34,193387023165801.0,193352023165801.0,36.835616174438286
41,438506,"To Hien Thanh,Quan 10,Ho Chi Minh",13,Quan 10,3,10.7787975,106.6696779,121,False,22000000000,130410250.476541,170404263.56589147,1003613975703.678,129466220715774.45,129444220715774.45,45.61881707743991
42,585756,Cao Thang,12,Quan 10,3,10.7739166,106.6739209,120,False,17800000000,172781931.649939,17769400000.0,812772272517.8353,812802872517.8353,795002872517.8353,45.66136362459749
43,587281,3/2,14,Quan 10,3,10.7665878,106.6622914,121,False,7390000000,166510168.64360702,142017307.69230768,337123058202.2809,17530404126518.605,17523014126518.605,45.61881707743991
44,619894,Ly Thai To,,Quan 10,3,10.766598,106.6774033,120,False,4600000000,153787825.701783,114872500.0,210042272673.14847,8401696006925.938,8397096006925.938,45.66136362459749
45,442565,3 Thang 2,8,Quan 10,3,10.7670501,106.6664964,121,False,20000000000,177766208.61408702,165141735.53719008,912376341548.7981,110397555177404.56,110377555177404.56,45.61881707743991
46,717323,Cao Thang,cao thang,Quan 10,1,10.7749931,106.6742294,350,False,56000000,213740.45801526695,194274.80916030533,2064708096.999057,540958621413.7529,540902621413.7529,36.869787446411735
47,629861,Thanh Thai,thanh thai,Quan 10,1,10.7687853,106.6660782,351,False,15500000000,259345294.260423,138594812.1645796,570952050703.7935,63832444368684.11,63816944368684.11,36.835616174438286
48,630259,Ly Thai To,,Quan 10,2,10.767537,106.6747159,350,False,20000000,331961299.851064,196000.0,737395748.9282347,36879987446.411736,36859987446.411736,36.869787446411735
49,266188,To Hien Thanh,12,Quan 10,3,10.7802097,106.6676275,121,False,5400000000,127718991.008831,269235000.0,246341612218.1755,4926847544363.51,4921447544363.51,45.61881707743991
50,464355,"3/2,Quan 10,Ho Chi Minh",12,Quan 10,1,10.774154,106.6779018,350,False,42000000000,360468437.359051,358734615.38461536,1548531072749.293,181178163561667.28,181136163561667.28,36.869787446411735
51,634495,To Hien Thanh,13,Quan 10,3,10.7802294,106.6700746,121,False,16500000000,125954198.473282,125837404.58015268,752710481777.7584,98605088412886.36,98588588412886.36,45.61881707743991
52,459902,3 Thang 2,6,Quan 10,1,10.7778394,106.6810573,351,False,25000000000,324142512.60088,223009375.0,920890404360.9572,103139748238427.2,103114748238427.2,36.835616174438286
53,468045,Cach Mang Thang 8,15,Quan 10,3,10.783463,106.670901,121,True,4700000000,136561297.526528,82277192.98245615,214408440263.96756,12221291295046.15,12216591295046.15,45.61881707743991
54,469677,Ngo Quyen,8,Quan 10,1,10.7634006,106.6645118,351,False,18900000000,296152533.642098,262216666.66666666,696193145696.8835,50125926890175.62,50107026890175.62,36.835616174438286
55,316690,Thanh Thai,14,Quan 10,3,10.768622,106.6649136,121,False,11000000000,140743116.029292,91624166.66666667,501806987851.839,60216843642220.68,60205843642220.68,45.61881707743991
56,349649,To Hien Thanh,12,Quan 10,3,10.7761781,106.6658438,121,False,11500000000,127718991.008831,208812727.27272728,524616396390.5589,28853917101480.74,28842417101480.74,45.61881707743991
57,643986,Nguyen Chi Thanh,5,Quan 10,3,10.7596851,106.6660541,121,False,8500000000,141666666.66666698,141284166.66666666,387759945158.2392,23265619659494.35,23257119659494.35,45.61881707743991
58,652077,3/2,12,Quan 10,3,10.7710169,106.6734787,120,False,13690000000,273800000.0,273239000.0,625104068020.7396,31255231451036.98,31241541451036.98,45.66136362459749
59,653679,Ba Hat,9,Quan 10,3,10.7664912,106.6707829,120,False,39900000000,1108333333.3333302,1108191666.6666667,1821888408621.44,65587987810371.836,65548087810371.836,45.66136362459749
60,483178,"3/2,Quan 10,Ho Chi Minh",14,Quan 10,3,10.7663343,106.6608375,121,False,11000000000,173728182.11162,182823333.33333334,501806987851.839,30108449871110.34,30097449871110.34,45.61881707743991
61,724015,"Cao Thang,Quan 10,Ho Chi Minh",12,Quan 10,1,10.7750878,106.6740926,350,False,180000000,1607142.85714286,1561607.142857143,6636561740.354113,743300014919.6606,743120014919.6606,36.869787446411735
62,652122,3/2,12,Quan 10,3,10.7762745,106.6802101,121,False,9300000000,155000000.0,154915000.0,424254998820.19116,25455305029211.47,25446005029211.47,45.61881707743991
63,724913,To Hien Thanh,,Quan 10,1,10.7819014,106.6704999,351,False,200000000,740740.7407407409,684074.074074074,7367123234.887657,1989138573419.6675,1988938573419.6675,36.835616174438286
64,338067,Su Van Hanh,,Quan 10,3,10.7724685,106.667647,121,False,13500000000,115538637.752002,157715789.47368422,615854030545.4387,52655534911635.01,52642034911635.01,45.61881707743991
65,724409,Thanh Thai,14,Quan 10,3,10.7715253,106.6649004,121,False,13800000000,262857142.857143,262371428.57142857,629539675668.6707,33050858472605.21,33037058472605.21,45.61881707743991
66,720887,Thanh Thai,14,Quan 10,3,10.7750444,106.6646013,121,False,14400000000,214285714.285714,214058035.7142857,656910965915.1346,44144432209497.05,44130032209497.05,45.61881707743991
67,721022,To Hien Thanh,13,Quan 10,3,10.7787975,106.6696779,121,False,11700000000,182812500.0,182653125.0,533740159806.04694,34159380427587.004,34147680427587.004,45.61881707743991
68,659413,"Ba Hat,Quan 10,Ho Chi Minh",4,Quan 10,3,10.7668993,106.6732484,120,False,3250000000,90277777.7777778,89994444.44444445,148399431779.94183,5342389744077.906,5339139744077.906,45.66136362459749
69,721230,Cach Mang Thang Tam,12,Quan 10,1,10.7786826,106.6798208,351,False,21500000000,21500000000.0,21474500000.0,791965747750.4231,791991247750.4231,770491247750.4231,36.835616174438286
70,724733,Le Hong Phong,08,Quan 10,1,10.7585222,106.6775354,350,False,160000000,800000.0,685250.0,5899165991.425878,1179856148285.1755,1179696148285.1755,36.869787446411735
71,723757,Ly Thuong Kiet,,Quan 10,1,10.7637322,106.6608736,351,False,16000000000,235294117.647059,234919117.6470588,589369858791.0126,40077175897788.85,40061175897788.85,36.835616174438286
72,724748,Ngo Gia Tu,,Quan 10,1,10.7639999,106.6719564,350,False,180000000,750000.0,622500.0,6636561740.354113,1592805417684.987,1592625417684.987,36.869787446411735
73,721516,3/2,,Quan 10,3,10.7663343,106.6608375,121,False,105000000,150000.0,117214.28571428571,4789975793.13119,3353006005191.833,3352901005191.833,45.61881707743991
74,724783,Hoa Hung,hoa hung,Quan 10,3,10.7798756,106.6764172,121,False,1800000000,50000000.0,49716666.666666664,82113870739.39183,2956109546618.106,2954309546618.106,45.61881707743991
75,187570,Ly Thai To,,Quan 10,3,10.766598,106.6774033,120,False,100000000,148922397.41141498,2259523.8095238097,4566136362.459749,191782827223.30948,191682827223.30948,45.66136362459749
76,191834,"Thanh Thai,Quan 10,Ho Chi Minh",14,Quan 10,4,10.768642,106.6636134,351,False,4050000000,113750049.366316,211107329.84293193,149184245506.47507,2849436939173.674,2845386939173.674,36.835616174438286
77,725203,Ly Thuong Kiet,14,Quan 10,3,10.7681355,106.659333,121,False,17500000000,273437500.0,273078906.25,798329298855.1984,51093098076732.695,51075598076732.695,45.61881707743991
78,442559,"Thanh Thai,Quan 10,Ho Chi Minh",14,Quan 10,3,10.7731832,106.6647252,121,False,3950000000,140656346.157534,103477631.57894737,180194327455.88763,6847402293323.73,6843452293323.73,45.61881707743991
79,654269,To Hien Thanh,13,Quan 10,1,10.778811,106.668717,351,False,7300000000,130357142.857143,130266071.42857143,268899998073.39948,15058404992110.371,15051104992110.371,36.835616174438286
80,113168,Su Van Hanh,12,Quan 10,5,10.7724685,106.667647,351,False,24500000000,191082157.559597,214884129.21348315,902472596273.738,102809698567504.23,102785198567504.23,36.835616174438286
81,549090,Su Van Hanh,12,Quan 10,5,10.7724685,106.667647,351,False,19300000000,191082157.559597,137044420.75337598,710927392166.6589,100027501927848.9,100008201927848.9,36.835616174438286
82,653955,Thanh Thai,14,Quan 10,3,10.7682929,106.6670096,121,False,20000000000,34482758.6206897,19959200000.0,912376341548.7981,40800000.0,-19959200000.0,45.61881707743991
83,87499,Thanh Thai,14,Quan 10,3,10.7708607,106.6617798,121,False,7250000000,140743116.029292,7232150000.0,330736423811.43933,17850000.0,-7232150000.0,45.61881707743991
84,101030,To Hien Thanh,13,Quan 10,5,10.7785432,106.6673064,351,False,17000000000,130410250.476541,212245000.0,626205474965.4508,50096458397236.06,50079458397236.06,36.835616174438286
85,101144,Dong Nai,15,Quan 10,1,10.7773091,106.66435,351,False,31500000000,427961990.834221,342225000.0,1160321909494.806,106749630973522.14,106718130973522.14,36.835616174438286
86,292279,Nguyen Tri Phuong,4,Quan 10,3,10.7665426,106.6685713,120,False,4300000000,175938480.789274,58694520.54794521,196343863585.76923,14333117341761.154,14328817341761.154,45.66136362459749
87,296610,Nguyen Ngoc Loc,14,Quan 10,3,10.7669439,106.6635863,121,False,5000000000,187466567.747306,65521052.631578945,228094085387.19952,17335170889427.164,17330170889427.164,45.61881707743991
88,297941,To Hien Thanh,12,Quan 10,1,10.7761959,106.6655485,351,False,14500000000,127718991.008831,1034075000.0,534116434529.35516,7477653033410.973,7463153033410.973,36.835616174438286
89,300578,Su Van Hanh,13,Quan 10,1,10.775766,106.6685308,351,False,7500000000,194778638.24869695,178025000.0,276267121308.2872,11603242044948.06,11595742044948.06,36.835616174438286
90,725854,Thanh Thai,12,Quan 10,1,10.7746611,106.6642889,351,False,14000000000,205882352.941176,205582352.94117647,515698626442.136,35067526998065.246,35053526998065.246,36.835616174438286
91,311616,"3/2,Quan 10,Ho Chi Minh",14,Quan 10,3,10.7742357,106.6780668,120,False,250000000000,237005206.01259905,578597453.7037038,11415340906149.373,4931427317356529.0,4931177317356529.0,45.66136362459749
92,312486,Nguyen Tieu La,8,Quan 10,2,10.763728,106.6664036,351,False,12000000000,362388696.488696,226886363.63636366,442027394093.25946,23339066808124.098,23327066808124.098,36.835616174438286
93,315780,Le Hong Phong,10,Quan 10,3,10.7705329,106.6736334,120,False,21500000000,345190791.6120509,452202105.2631579,981719317928.8461,46631688001620.19,46610188001620.19,45.66136362459749
94,730737,Thanh Thai,14,Quan 10,3,10.7740359,106.6640286,121,False,6390000000,199687500.0,127494000.0,291504241124.841,14575227356242.05,14568837356242.05,45.61881707743991
95,729816,Su Van Hanh,12,Quan 10,1,10.7729582,106.6688863,351,False,25000000000,178571428.571429,1314447368.4210527,920890404360.9572,17496943182858.186,17471943182858.186,36.835616174438286
96,740227,Ly Thuong Kiet,14,Quan 10,3,10.7685265,106.6599949,121,False,9500000000,135714285.714286,135641428.57142857,433378762235.67914,30336518456497.54,30327018456497.54,45.61881707743991
97,732262,"3/2,Quan 10,Ho Chi Minh",11,Quan 10,3,10.7704246,106.6724038,120,False,40000000,114285.714285714,247000.0,1826454544.9838996,182660754498.38995,182620754498.38995,45.66136362459749
98,736611,Thanh Thai,,Quan 10,3,10.77488,106.6642323,121,False,14600000000,217261904.761905,216958333.3333333,666034729330.6227,44757554211017.84,44742954211017.84,45.61881707743991
99,740854,Ly Thuong Kiet,14,Quan 10,1,10.7637322,106.6608736,351,False,17500000000,243055555.555556,242772222.2222222,644623283052.67,46412896779792.24,46395396779792.24,36.835616174438286
100,745097,Hung Vuong,,Quan 10,5,10.761308,106.674522,350,False,8850000000,147500000.0,147160000.0,326297618900.74384,19577877534044.63,19569027534044.63,36.869787446411735
101,742805,Ly Thuong Kiet,14,Quan 10,1,10.7637322,106.6608736,351,False,17500000000,17500000000.0,242807638.8888889,644623283052.67,46412894229792.24,46395394229792.24,36.835616174438286
102,748778,Thanh Thai,12,Quan 10,1,10.7746611,106.6642889,351,False,14600000000,208571428.571429,215515151.5151515,537799996146.79895,36382190139330.95,36367590139330.95,36.835616174438286
103,741336,3/2,,Quan 10,3,10.7743757,106.6780312,120,False,250000000000,595238095.238095,595140952.3809524,11415340906149.373,4794443221382737.0,4794193221382737.0,45.66136362459749
104,738281,Ly Thuong Kiet,14,Quan 10,1,10.7637322,106.6608736,351,False,15500000000,193750000.0,193495000.0,570952050703.7935,45676184456303.48,45660684456303.48,36.835616174438286
105,734310,3/2,14,Quan 10,3,10.7667887,106.6653373,121,False,13900000000,193055555.555556,192843055.55555555,634101557376.4147,45655327431101.86,45641427431101.86,45.61881707743991
106,753139,su van hanh,12,Quan 10,1,10.7727118,106.6695471,350,False,34000000000,34000000000.0,140411570.2479339,1253572773177.999,303364631509075.75,303330631509075.75,36.869787446411735
107,711024,"Thanh Thai,Quan 10,Ho Chi Minh",,Quan 10,1,10.7734712,106.6646185,351,False,378000000,8400000.0,2878571.4285714286,13923862913.937672,1754422027156.1467,1754044027156.1467,36.835616174438286
108,749049,3/2,,Quan 10,3,10.7665878,106.6622914,121,False,7000000000,185185185.18518505,166180952.3809524,319331719542.07935,13411952620767.332,13404952620767.332,45.61881707743991
109,749287,Thanh Thai,12,Quan 10,5,10.7750444,106.6646013,351,False,14400000000,14400000000.0,211464705.88235295,530432872911.9113,36069455758009.97,36055055758009.97,36.835616174438286
110,739020,Le Hong Phong,,Quan 10,3,10.763866,106.675359,120,False,5800000000,5800000000.0,107312962.96296297,264835909022.66547,14301144187223.936,14295344187223.936,45.66136362459749
111,743160,Le Hong Phong,10,Quan 10,3,10.7705329,106.6736334,120,False,21500000000,524390243.9024389,452202105.2631579,981719317928.8461,46631688001620.19,46610188001620.19,45.66136362459749
112,750004,Thanh Thai,14,Quan 10,5,10.77488,106.6642323,351,False,15500000000,215277777.777778,214923611.1111111,570952050703.7935,41108573150673.125,41093073150673.125,36.835616174438286
113,739557,Le Hong Phong,12,Quan 10,2,10.7732589,106.6715807,350,False,36000000000,368098159.509202,367785276.07361966,1327312348070.8225,129811178241326.44,129775178241326.44,36.869787446411735
114,750578,Thanh Thai,14,Quan 10,3,10.7740359,106.6640286,121,False,12100000000,170903954.80226,170759887.00564972,551987686637.0228,39080738413901.21,39068638413901.21,45.61881707743991
115,743744,Ly Thuong Kiet,14,Quan 10,1,10.7637322,106.6608736,351,False,15500000000,238461538.461538,171882222.2222222,570952050703.7935,51385715163341.414,51370215163341.414,36.835616174438286
116,739705,Thanh Thai,,Quan 10,1,10.7746611,106.6642889,351,False,14600000000,14600000000.0,455532812.5,537799996146.79895,17209622826697.566,17195022826697.566,36.835616174438286
117,743916,Ly Thuong Kiet,,Quan 10,1,10.7637322,106.6608736,351,False,16000000000,129032258.064516,19968125.0,589369858791.0126,471495912532810.06,471479912532810.06,36.835616174438286
118,751392,Thanh Thai,12,Quan 10,3,10.77488,106.6642323,121,False,14600000000,228125000.0,227885937.5,666034729330.6227,42626237977159.85,42611637977159.85,45.61881707743991
119,754857,Su Van Hanh,12,Quan 10,1,10.7714953,106.6703732,350,False,30000000000,214285714.285714,214176428.57142857,1106093623392.352,154853122574929.28,154823122574929.28,36.869787446411735
120,755782,Thanh Thai,12,Quan 10,3,10.77488,106.6642323,121,False,14600000000,214705882.35294095,214480882.3529412,666034729330.6227,45290376894482.34,45275776894482.34,45.61881707743991
121,755795,Cao Thang,12,Quan 10,1,10.7760369,106.6713405,351,False,11700000000,180000000.0,179764615.3846154,430976709240.9279,28013501400660.316,28001801400660.316,36.835616174438286
122,756067,Thanh Thai,14,Quan 10,1,10.7728444,106.6647872,351,False,34000000000,91891891.89189193,257440530.3030303,1252410949930.9016,165318263240879.0,165284263240879.0,36.835616174438286
123,756838,Tran Thien Chanh,12,Quan 10,1,10.7721987,106.6701545,350,False,35000000000,368421052.631579,368152631.57894737,1290442560624.4106,122592068759319.02,122557068759319.02,36.869787446411735
124,757083,Le Hong Phong,1,Quan 10,3,10.7646189,106.6755636,120,False,1230000000,24600000.0,24498000.0,56163477258.25491,2808178962912.7456,2806948962912.7456,45.66136362459749
125,758291,Su Van Hanh,12,Quan 10,1,10.772124,106.6695168,350,False,24000000000,24000000000.0,299745000.0,884874898713.8816,70790012297110.53,70766012297110.53,36.869787446411735
126,758421,Cach Mang Thang Tam,13,Quan 10,5,10.7783692,106.6791359,351,False,18500000000,256944444.444444,256590277.7777778,681458899227.1083,49065066244351.8,49046566244351.8,36.835616174438286
127,759490,Ly Thai To,1,Quan 10,3,10.766598,106.6774033,120,False,5800000000,107407407.407407,107029629.62962963,264835909022.66547,14301159487223.936,14295359487223.936,45.66136362459749
128,760461,Thanh Thai,thanh thai,Quan 10,1,10.7754172,106.6643232,351,False,7500000000,156250000.0,155825000.0,276267121308.2872,13260842222797.785,13253342222797.785,36.835616174438286
129,761074,Le Hong Phong,12,Quan 10,2,10.7732589,106.6715807,350,False,37000000000,378323108.384458,378010224.94887525,1364182135517.2341,133417043453585.5,133380043453585.5,36.869787446411735
130,762590,Cao Thang,12,Quan 10,3,10.7739166,106.6739209,120,False,17800000000,219753086.41975304,296156666.6666667,812772272517.8353,48766366951070.12,48748566951070.12,45.66136362459749
131,764013,Su Van Hanh,12,Quan 10,1,10.7729582,106.6688863,351,False,10500000000,159090909.090909,87457500.0,386773969831.602,46412881479792.24,46402381479792.24,36.835616174438286
132,764073,Le Hong Phong,1,Quan 10,3,10.7646189,106.6755636,120,False,1230000000,24600000.0,24498000.0,56163477258.25491,2808178962912.7456,2806948962912.7456,45.66136362459749
133,764284,3/2,14,Quan 10,3,10.7663343,106.6608375,121,False,13100000000,154117647.058824,130949000.0,597606503714.4628,59760655471446.27,59747555471446.27,45.61881707743991
134,765086,Nguyen Duy Duong,,Quan 10,1,10.763316,106.67019,350,False,12300000000,227777777.777778,227588888.8888889,453498385590.8643,24488923021906.67,24476623021906.67,36.869787446411735
135,765103,Thanh Thai,14,Quan 10,5,10.7694,106.6663338,351,False,16500000000,229166666.66666695,228812500.0,607787666878.2317,43760737515232.68,43744237515232.68,36.835616174438286
136,765790,Tran Nhan Ton,,Quan 10,1,10.7608031,106.6746629,350,False,8800000000,225641025.641026,2508457142.857143,324454129528.4233,1135609853349.4814,1126809853349.4814,36.869787446411735
137,769085,To Hien Thanh,13,Quan 10,1,10.778811,106.668717,351,False,9700000000,121250000.0,121122500.0,357305476892.0514,28584448351364.11,28574748351364.11,36.835616174438286
138,312198,Thanh Thai,12,Quan 10,1,10.7721183,106.6660988,351,False,23500000000,153876772.458631,175335074.62686568,865636980099.2997,115995360433306.16,115971860433306.16,36.835616174438286
139,389060,Cach Mang Thang 8,12,Quan 10,1,10.7786826,106.6798208,351,False,23000000000,152301072.908759,359096093.75,847219172012.0806,54222044858773.16,54199044858773.16,36.835616174438286
140,190357,Thanh Thai,14,Quan 10,3,10.768622,106.6649136,121,False,9300000000,140656346.157534,138165178.57142857,424254998820.19116,28509951220716.848,28500651220716.848,45.61881707743991
141,518589,Ngo Gia Tu,9,Quan 10,1,10.7660364,106.673088,350,False,58000000000,356107870.831369,4140489285.714286,2138447671891.8806,29938300556486.33,29880300556486.33,36.869787446411735
142,647298,Su Van Hanh,mall trung tam,Quan 10,1,10.7749039,106.6678028,351,False,50000000,50000000.0,296000.0,1841780808.7219143,184198480872.19144,184148480872.19144,36.835616174438286
143,590173,"Ly Thai To,Quan 10,Ho Chi Minh",9,Quan 10,0,10.766598,106.6774033,350,False,11000000,152522031.498427,-134375.0,405567661.9105291,12993465181.13693,12982465181.13693,36.869787446411735
144,673630,"To Hien Thanh,Quan 10,Ho Chi Minh",14,Quan 10,0,10.7824834,106.671448,351,True,19000000,475000.0,347500.0,699876707.3143275,28000168292.573097,27981168292.573097,36.835616174438286
145,327366,Nguyen Tieu La,8,Quan 10,1,10.7663976,106.6665618,351,True,8300000000,166094819.223986,153420370.37037036,305735614247.83777,16509738469383.24,16501438469383.24,36.835616174438286
146,327496,3/2,14,Quan 10,3,10.7665878,106.6622914,121,False,24000000000,237005206.01259905,187154566.74473068,1094851609858.5577,140250516722881.23,140226516722881.23,45.61881707743991
147,51210,Su Van Hanh,12,Quan 10,1,10.7718697,106.6694429,350,False,18000000000,191082157.559597,264405882.3529412,663656174035.4113,45128640234407.97,45110640234407.97,36.869787446411735
